early,late
0.24195889,0.30685503
0.301771152,0.325156655
0.336027475,0.212099906
0.387499469,0.284109596
0.354677394,0.405211097
0.360239626,0.338135434
0.355545701,0.26202112
0.279353925,0.177412409
0.333633479,0.286122071
0.234821818,0.284523603
0.536807275,0.491955885
0.355447456,0.264802957
0.320650575,0.382934081
0.364206675,0.239302052
0.275151375,0.179341728
0.258337587,0.210870103
0.286454026,0.342141701
0.253238162,0.233745441
0.390190795,0.321639937
0.485112444,0.467041747
0.301377642,0.21667296
0.226083494,0.302891324
0.308047912,0.354071224
0.291762777,0.51255245
0.383390109,0.199850923
0.306491161,0.313128589
0.221482321,0.246441817
0.179546671,0.124277775
0.23658427,0.192294276
0.360164619,0.435495293
0.366339724,0.593532085
0.335574481,0.227634427
0.374068564,0.295458494
0.293999724,0.306251385
0.275920787,0.28095373
0.366919674,0.246054492
0.403582539,0.324793328
0.426406222,0.269895106
0.367238499,0.24409884
