sub,patch,env,leaveT,meanLT,dmLeave
3,3,1,22.22747077,18.89456603,3.332904742
3,2,1,14.98518284,18.89456603,-3.909383193
3,3,1,23.1461552,18.89456603,4.251589168
3,3,1,19.20614194,18.89456603,0.311575909
3,2,1,15.43766571,18.89456603,-3.456900319
3,3,1,19.71132149,18.89456603,0.816755452
3,3,1,21.21940102,18.89456603,2.324834988
3,1,1,14.47280463,18.89456603,-4.421761402
3,3,1,24.21143999,18.89456603,5.31687396
3,3,1,20.29074238,18.89456603,1.396176345
3,2,1,14.00800208,18.89456603,-4.886563952
3,3,1,18.44263021,18.89456603,-0.451935821
3,1,2,7.928689432,18.89456603,-10.9658766
3,1,2,11.93622358,18.89456603,-6.958342457
3,2,2,20.67545035,18.89456603,1.780884321
3,1,2,17.30190424,18.89456603,-1.592661794
3,3,2,28.53101039,18.89456603,9.636444356
3,2,2,21.88073949,18.89456603,2.986173455
3,2,2,21.61875008,18.89456603,2.724184045
3,1,2,18.00258761,18.89456603,-0.891978426
3,3,2,30.74022519,18.89456603,11.84565916
3,1,2,19.59123703,18.89456603,0.696670999
3,1,2,19.54550041,18.89456603,0.650934376
3,2,2,19.75599491,18.89456603,0.861428873
3,3,2,31.00868041,18.89456603,12.11411438
3,1,2,18.50613723,18.89456603,-0.388428806
3,2,2,20.33542959,18.89456603,1.440863557
3,1,2,17.99440656,18.89456603,-0.900159472
3,1,2,22.1421192,18.89456603,3.247553168
3,2,2,20.4682946,18.89456603,1.573728568
3,3,2,29.98433228,18.89456603,11.08976625
3,1,2,18.58308742,18.89456603,-0.311478615
3,1,2,15.76214448,18.89456603,-3.132421552
3,1,2,17.46092723,18.89456603,-1.433638799
3,2,2,23.21909697,18.89456603,4.324530941
4,3,1,8.935625588,17.28619419,-8.350568599
4,2,1,4.575149344,17.28619419,-12.71104484
4,3,1,11.74969997,17.28619419,-5.536494221
4,1,1,4.668587142,17.28619419,-12.61760704
4,3,1,14.23495387,17.28619419,-3.051240316
4,2,1,8.944685947,17.28619419,-8.34150824
4,1,1,8.389793642,17.28619419,-8.896400545
4,3,1,16.95024436,17.28619419,-0.33594983
4,3,1,19.31061508,17.28619419,2.024420898
4,2,1,16.01994177,17.28619419,-1.266252417
4,1,1,7.905400551,17.28619419,-9.380793636
4,3,1,18.02929014,17.28619419,0.743095949
4,2,1,7.699372157,17.28619419,-9.58682203
4,1,1,11.61531095,17.28619419,-5.670883239
4,3,1,17.52530005,17.28619419,0.239105863
4,3,1,19.48417436,17.28619419,2.197980172
4,2,1,15.81825369,17.28619419,-1.467940498
4,3,1,19.7730154,17.28619419,2.48682121
4,3,1,13.78250231,17.28619419,-3.503691873
4,2,1,11.98236806,17.28619419,-5.303826127
