rich,poor
11.64828984,12.54932175
21.47426535,18.32653599
20.8666303,15.96935993
21.23072712,15.93170386
20.80529925,17.90332194
21.44116215,18.32598183
19.4178829,17.20814149
19.42404139,16.71156098
21.41378932,18.03174297
16.00383587,13.52357404
21.14035611,18.55712409
20.69653565,16.47350264
20.52984964,17.08916566
20.63996679,14.94303352
19.02643086,15.5914441
20.53864527,17.40772496
20.66833071,16.2151074
18.95936999,16.82611962
21.41724313,18.34521824
20.06266311,15.74882858
21.20954564,18.26613619
19.23676092,15.03751574
21.34566859,18.44225088
18.01243387,15.43412208
21.00296968,15.59849053
16.70498777,13.64005093
20.85134022,17.59891642
16.82447034,14.11425144
21.00544279,17.51585383
20.16743023,17.64051177
20.74983415,17.56482638
19.87902119,15.53924647
19.30791499,14.32524392
21.44643748,18.07460287
19.50682096,17.111849
20.6212834,16.0277059
18.52120182,16.60837041
20.61868815,17.25628207
19.35673657,15.881995
